Vs          Vg          Cac         Lndc        Lnac        Lpdc        Lpac        Es          Qtot        Qinv        
-3.0000e-01 -7.9012e-01 5.0565e-07 1.2888e-05 5.3327e+08 7.1862e-07 2.8469e-07 -4.1018e+05 -4.2520e-07 4.3174e-20
-2.1053e-01 -2.8405e-01 4.9214e-07 1.2833e-05 1.2272e+08 1.2616e-06 4.9925e-07 -1.6297e+05 -1.6894e-07 4.3566e-20
-1.2105e-01 -1.1755e-02 3.5734e-07 1.2590e-05 2.6221e+07 2.5269e-06 1.3496e-06 -4.6345e+04 -4.8042e-08 4.5348e-20
-3.1579e-02 1.3891e-01 1.9629e-07 1.1501e-05 4.9050e+06 5.0400e-06 3.5723e-06 -5.9978e+03 -6.2174e-09 5.4105e-20
5.7895e-02 2.5321e-01 1.0414e-07 7.2010e-06 5.5157e+05 5.0465e-06 7.1818e-06 1.0541e+04 1.0927e-08 1.2341e-19
1.4737e-01 3.5599e-01 6.0268e-08 2.8755e-06 2.7910e+04 6.7172e-06 1.0794e-05 1.9413e+04 2.0124e-08 1.0884e-18
2.3684e-01 4.5488e-01 3.6546e-08 1.6864e-06 7.4427e+02 7.7760e-06 1.3293e-05 2.5693e+04 2.6634e-08 2.0765e-17
3.2632e-01 5.5226e-01 2.1927e-08 1.3047e-06 2.0167e+01 8.4462e-06 1.4931e-05 3.0962e+04 3.2096e-08 4.8983e-16
4.1579e-01 6.4899e-01 1.3239e-08 1.0950e-06 5.0292e-01 8.8639e-06 1.6041e-05 3.5799e+04 3.7110e-08 1.2479e-14
5.0526e-01 7.4544e-01 8.3008e-09 9.5051e-07 1.2311e-02 9.1286e-06 1.6818e-05 4.0448e+04 4.1929e-08 3.3088e-13
5.9474e-01 8.4177e-01 5.7605e-09 8.4196e-07 3.0623e-04 9.3031e-06 1.7418e-05 4.5021e+04 4.6670e-08 8.9979e-12
6.8421e-01 9.3836e-01 1.2175e-08 7.5629e-07 8.5021e-06 9.4231e-06 1.9455e-05 4.9768e+04 5.1590e-08 2.4833e-10
7.7368e-01 1.0432e+00 1.6141e-07 6.7345e-07 8.4925e-07 9.5062e-06 7.3251e-05 6.0016e+04 6.2214e-08 6.4098e-09
8.6316e-01 1.2430e+00 4.8584e-07 5.2164e-07 4.3395e-07 9.5473e-06 9.3166e-04 1.3353e+05 1.3842e-07 7.9829e-08
9.5263e-01 1.6914e+00 5.8670e-07 3.6507e-07 2.4822e-07 9.5573e-06 5.9934e-03 3.7283e+05 3.8649e-07 3.2715e-07
1.0421e+00 2.4328e+00 6.2082e-07 2.6864e-07 1.6695e-07 9.5594e-06 2.7048e-02 8.0744e+05 8.3701e-07 7.7751e-07
1.1316e+00 3.4329e+00 6.3527e-07 2.1383e-07 1.3125e-07 9.5600e-06 1.1501e-01 1.4145e+06 1.4663e-06 1.4068e-06
1.2211e+00 4.6292e+00 6.4263e-07 1.8116e-07 1.1313e-07 9.5600e-06 -9.9515e-01 2.1524e+06 2.2313e-06 2.1717e-06
1.3105e+00 5.9724e+00 6.4709e-07 1.6008e-07 1.0231e-07 9.5599e-06 -1.4096e-01 2.9882e+06 3.0977e-06 3.0381e-06
1.4000e+00 7.4321e+00 6.5019e-07 1.4542e-07 9.4862e-08 9.5597e-06 -8.2241e-02 3.9017e+06 4.0446e-06 3.9851e-06
